RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,pred_probs
2615,15640846,Chibueze,546,Germany,Female,58,3,106458.31,4,1,0,128881.87,0.9940767772352601
71,15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,0.9929586696541847
4055,15734762,Ignatiev,602,France,Female,56,3,115895.22,3,1,0,4176.17,0.9925560042316564
6912,15710087,Nicholls,705,Germany,Female,54,3,125889.3,3,1,0,96013.5,0.9924922978927285
1994,15787189,Tai,824,Germany,Male,60,8,134250.17,3,0,0,153046.16,0.9923746772258649
6832,15696989,Chukwueloka,469,Germany,Female,52,8,139493.25,3,0,0,150093.32,0.9923408156340822
5951,15806808,Hope,834,Germany,Female,57,8,112281.6,3,1,0,140225.14,0.9921080904309261
1963,15692416,Aikenhead,358,Spain,Female,52,8,143542.36,3,1,0,141959.11,0.9918905879446849
4014,15653776,Salier,720,Germany,Female,57,1,162082.31,4,0,0,27145.73,0.9917302494086379
6280,15608338,Chiemenam,757,Spain,Female,55,9,117294.12,4,1,0,94187.47,0.9914648709734533
6256,15589017,Chiu,547,Germany,Male,55,4,111362.76,3,1,0,16922.28,0.9904257313230102
964,15731815,Nepean,529,Spain,Male,63,4,96134.11,3,1,0,108732.96,0.9903054673574976
3550,15647725,Napolitano,675,France,Female,61,5,62055.17,3,1,0,166305.16,0.9902470833263953
2155,15721426,Milne,606,Germany,Male,65,10,126306.64,3,0,0,7861.68,0.989622617230778
9439,15641175,Munro,701,Germany,Male,63,3,120916.52,3,0,0,144727.45,0.9893850234083698
7214,15623210,Smith,484,Germany,Female,55,8,149349.58,3,0,0,137519.92,0.9890032684075676
5116,15727317,Brady,533,Germany,Female,49,1,102286.6,3,1,0,69409.37,0.9888506587817331
1006,15701602,Ayers,521,Germany,Male,52,5,116497.31,3,0,0,53793.1,0.9884044067448724
4564,15694376,Sullivan,705,Germany,Female,64,3,153469.26,3,0,0,146573.66,0.9883041157823721
2496,15666548,Chung,466,Germany,Female,56,2,111920.13,3,1,0,197634.11,0.9878188697241185
1658,15752342,Bradley,704,Germany,Female,54,6,133656.91,3,1,0,145071.33,0.9871228365901705
1266,15662291,Davidson,534,France,Female,55,8,116973.26,3,1,0,122066.5,0.9857977422137587
9107,15663650,Russell,698,Germany,Male,52,10,107304.39,3,1,0,28806.32,0.9857051475284353
7534,15592773,Eberegbulam,630,Germany,Female,51,0,108449.23,3,0,0,88372.69,0.9856773127697344
5138,15601594,Ifeanacho,698,France,Female,51,6,144237.91,4,1,0,157143.61,0.9855859246838109
6296,15621550,Hung,535,Spain,Female,50,1,140292.58,3,0,0,69531.22,0.9853244436606986
4993,15783019,Price,794,France,Female,62,9,123681.32,3,1,0,173586.63,0.9853082543012681
4015,15597914,Evdokimov,641,Germany,Female,51,2,117306.69,4,1,1,26912.72,0.9851703759991535
9541,15634551,Williamson,727,Germany,Male,46,3,115248.11,4,1,0,130752.01,0.9849758323046564
9317,15766355,Lettiere,550,Germany,Male,49,0,108806.96,3,1,0,61446.92,0.9846641042185134
872,15692750,McGregor,629,Germany,Female,45,7,129818.39,3,1,0,9217.55,0.984300541884181
1470,15670374,Wright,819,Germany,Female,49,1,120656.86,4,0,0,166164.3,0.9840803834170021
2275,15808044,Ts'ui,580,France,Female,65,9,106804.26,3,1,0,107890.69,0.9834762726245517
7916,15803538,Douglas,695,Spain,Male,56,1,0.0,3,1,0,187734.49,0.9832306333781798
4521,15605826,Korovina,652,Germany,Male,46,10,121063.8,3,1,0,151481.86,0.9829505275299578
2286,15783615,Ramos,630,Germany,Male,50,3,129370.91,4,1,1,47775.34,0.9829359073928463
4207,15720929,Kazantseva,604,France,Female,47,8,62094.71,3,0,0,9308.1,0.9826602949014495
4678,15791780,Ts'ao,706,Germany,Female,48,10,104478.12,3,0,1,158248.71,0.9815100971056373
8104,15740223,Walton,479,Germany,Male,51,1,107714.74,3,1,0,86128.21,0.9811984581432759
6360,15739972,Hughes,650,Germany,Female,45,9,152367.21,3,1,0,150835.21,0.981070117639983
6222,15603554,Berkeley,513,France,Female,45,0,164649.52,3,1,0,49915.52,0.9806121503485019
7436,15647898,Russell,610,Spain,Female,50,5,130554.51,3,1,0,184758.17,0.980538206668191
2873,15671591,Castiglione,439,Spain,Male,52,3,96196.24,4,1,0,198874.52,0.9804268048104575
2463,15704442,Fleming,672,France,Female,53,9,169406.33,4,1,1,147311.47,0.9803057092186993
7458,15668889,Galgano,665,Germany,Female,43,2,116322.27,4,1,0,35640.12,0.9801460507140973
7716,15582129,Hsia,517,France,Male,62,1,43772.66,3,1,0,187756.24,0.9800780881355092
3842,15750778,Ponomarev,653,France,Female,60,2,120731.39,4,1,1,138160.11,0.9799595959958604
2197,15791700,Ugochukwutubelum,773,Germany,Male,47,2,118079.47,4,1,1,143007.49,0.9798200767893764
1956,15779176,Dike,565,Germany,Female,58,3,108888.24,3,0,1,135875.51,0.9796244568149245
7249,15736510,Loggia,605,Spain,Female,57,2,0.0,3,1,0,66652.75,0.9793374334215603
1255,15610383,Dumetolisa,628,France,Female,46,1,46870.43,4,1,0,31272.14,0.9790148934656755
1799,15610446,Chinedum,714,France,Female,51,4,88308.87,3,0,0,5862.53,0.9789017182383299
7117,15788776,Landor,588,Germany,Male,49,6,132623.76,3,1,0,36292.94,0.9783055770538416
2519,15759436,Aksenov,758,France,Female,50,2,95813.76,3,1,1,67944.09,0.9782076200912901
238,15764866,Synnot,539,Germany,Female,43,3,116220.5,3,1,0,55803.96,0.9781131130433746
8924,15570002,Burlingame,625,Germany,Female,55,8,118772.71,4,0,0,135853.62,0.9780683729772178
744,15641675,Kirillova,611,France,Female,49,2,88915.37,3,0,0,161435.02,0.9780132859389953
468,15593782,Brookes,816,Germany,Female,38,5,130878.75,3,1,0,71905.77,0.9779974658970123
7243,15701687,Campbell,664,Spain,Male,44,7,77526.66,3,0,0,57338.56,0.9778590052181381
1428,15799966,Chigolum,792,Germany,Female,59,9,101609.77,1,0,0,161479.19,0.9774506531127672
9216,15624180,Genovesi,584,Germany,Female,37,10,134171.8,4,1,1,70927.11,0.9772228656541497
8494,15727619,Lock,753,Germany,Female,46,9,113909.69,3,1,0,92320.37,0.9769244915282567
5387,15668283,Gardiner,642,France,Male,48,9,118317.27,4,0,0,78702.98,0.9767367616851339
2510,15689341,Gibbs,655,France,Female,50,10,0.0,4,1,0,179267.94,0.9766588408429078
9896,15796764,Bruno,684,Germany,Female,56,3,127585.98,3,1,1,80593.49,0.9766472150500186
4843,15624820,Ross,683,Spain,Male,56,7,50911.21,3,0,0,97629.31,0.9766229416361873
4404,15616859,Bonwick,602,Germany,Female,43,2,113641.49,4,1,0,115116.35,0.9766205287731122
4870,15781272,Coles,669,France,Male,50,4,149713.61,3,1,1,124872.42,0.9764981100366326
6227,15792305,Mountgarrett,762,Germany,Male,46,6,123571.77,3,0,1,57014.17,0.9762636189671939
2722,15576824,Kennedy,564,Germany,Female,44,3,111760.4,3,1,1,104722.47,0.9760354485001823
4167,15654562,Ma,850,Spain,Female,45,5,174088.3,4,1,0,5669.31,0.9758238052095544
8364,15677336,Aitken,557,Germany,Male,57,1,120043.13,1,1,0,132370.75,0.9753871713965733
6685,15746333,Blake,562,France,Female,57,3,0.0,3,1,0,6554.97,0.9747582662099924
5923,15786196,Han,555,France,Female,44,3,105770.7,3,1,0,60533.96,0.9747143795338032
4780,15711843,Pisani,613,Germany,Male,40,1,147856.82,3,0,0,107961.11,0.9746615849344905
4755,15595592,Lai,708,France,Female,59,2,0.0,1,1,0,179673.11,0.9743065043697111
730,15612525,Preston,499,France,Female,57,1,0.0,1,0,0,131372.38,0.974037077020771
3960,15663164,Yudin,663,Germany,Male,49,7,116150.65,3,1,1,84358.71,0.9739171885128364
2989,15684801,Abbott,689,France,Male,47,1,93871.95,3,1,0,156878.42,0.9734042561240059
6783,15657809,Lo,585,France,Male,55,10,106415.57,3,1,1,122960.98,0.9732360503018186
5364,15663410,Piccio,771,Spain,Male,51,5,135506.58,3,1,1,152479.64,0.9731487802017784
2618,15602735,Kuo,692,Germany,Male,45,6,152296.83,4,0,1,108040.86,0.9730973444419034
8300,15792473,Reilly,598,Germany,Female,50,5,88379.81,3,0,1,64157.24,0.9728877737348405
6151,15625761,Maclean,632,Germany,Male,41,8,127205.32,4,1,0,93874.87,0.9728485926050022
5338,15724076,Christie,815,Spain,Female,57,5,0.0,3,0,0,38941.44,0.9726861743224201
2721,15806688,Manfrin,726,Spain,Female,56,8,123110.9,3,0,1,130113.78,0.9725766968397308
8397,15655082,Pape,607,France,Female,48,4,112070.86,3,1,0,173568.3,0.9724652322587596
8375,15646720,Tsui,628,Spain,Female,55,7,0.0,3,1,0,85890.75,0.9724298984267465
2968,15595324,Daniels,579,Germany,Female,39,5,117833.3,3,0,0,5831.0,0.9723490245654927
7156,15609070,Findlay,515,Germany,Male,45,7,120961.5,3,1,1,39288.11,0.9721465862929342
8042,15701439,Fanucci,698,Spain,Female,50,1,0.0,4,1,0,88566.9,0.9720741822450747
3837,15602797,Okwudilichukwu,645,Spain,Female,49,5,110132.55,3,0,1,187689.91,0.9720454992066044
4350,15623107,Chukwumaobim,686,Spain,Male,45,3,74274.87,3,1,0,64907.48,0.971761668288364
3,15619304,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,0.9715344675145451
5011,15719508,Davis,575,Germany,Male,49,7,121205.15,4,1,1,168080.53,0.9715047284296453
8072,15688849,Martin,609,France,Male,48,1,108019.27,3,1,1,184524.65,0.9710879446382769
8345,15712813,Nevzorova,520,Germany,Male,43,3,150805.17,3,0,1,25333.03,0.9710442036787204
228,15676895,Cattaneo,547,Germany,Female,39,6,74596.15,3,1,1,85746.52,0.9708907079146705
5291,15743490,Zikoranachidimma,795,Germany,Female,56,9,94348.94,1,1,0,29239.29,0.9706137644335878
9256,15622033,Rapuluchukwu,847,Germany,Female,41,3,101543.51,4,1,0,16025.17,0.970585010526041
2116,15718893,Pirozzi,404,Germany,Female,54,4,125456.07,1,1,0,83715.66,0.9705081853989472
5058,15606386,Wang,753,Germany,Female,46,3,111512.75,3,1,0,159576.75,0.9705003062884994
6576,15651883,Genovesi,794,Germany,Female,55,6,115796.7,1,1,0,160526.36,0.9702147677996623
1216,15625080,Parkin,745,Spain,Female,54,8,0.0,1,1,0,173912.29,0.9702083291144065
923,15753337,Yeates,555,France,Male,51,5,0.0,3,1,0,189122.89,0.9701691833558151
5008,15784761,Ballard,554,Spain,Female,46,7,87603.35,3,0,1,96929.24,0.9701107783445325
128,15782688,Piccio,625,Germany,Male,56,0,148507.24,1,1,0,46824.08,0.9699692644827316
5315,15788068,Lopez,743,Germany,Male,45,10,144677.19,3,1,0,22512.44,0.9697583027544882
1118,15592583,Colman,731,France,Female,47,1,115414.19,3,0,0,191734.67,0.9697068844209534
6496,15640852,McGregor,617,Germany,Female,39,5,83348.89,3,1,0,7953.62,0.9696603029556887
7734,15596013,Akhtar,694,Germany,Female,58,1,143212.22,1,0,0,102628.56,0.9694754112365128
7054,15815271,Ritchie,755,Germany,Male,43,6,165048.5,3,1,0,16929.41,0.9693424991160321
1342,15609824,Fedorov,794,France,Female,41,7,176845.41,3,1,0,166526.26,0.9693271846299178
5005,15625092,Colombo,502,Germany,Female,57,3,101465.31,1,1,0,43568.31,0.9692867737271917
765,15672056,Kenenna,710,Germany,Male,43,2,140080.32,3,1,1,157908.19,0.9692370294076258
2474,15679249,Chou,351,Germany,Female,57,4,163146.46,1,1,0,169621.69,0.9692140780997781
631,15712403,McMillan,589,France,Female,61,1,0.0,1,1,0,61108.56,0.969195805351618
7259,15747757,Trevascus,600,Germany,Female,58,8,118723.11,1,0,0,6209.51,0.9691350123729867
6319,15686835,Crawford,738,Germany,Female,57,9,148384.64,1,0,0,155047.11,0.9687888357594611
